time, niveau, x_rotation, y_rotation, gyro_total_x, gyro_total_y, angle_x, angle_y
  0.001168,  1.0, -0.2, -1.3, -5.4, -4.0, -0.1, -1.3
  0.040152,  1.0, -0.0, -1.4, -5.4, -4.0, -0.1, -1.3
  0.062067,  1.0, -0.0, -1.4, -5.4, -4.0, -0.1, -1.3
  0.085054,  1.0,  0.0, -1.3, -5.4, -4.0, -0.1, -1.3
  0.107398,  1.0, -0.2, -1.5, -5.4, -4.0, -0.1, -1.3
  0.129294,  1.0, -0.1, -1.3, -5.4, -4.0, -0.1, -1.3
  0.151582,  1.0, -0.1, -1.4, -5.4, -4.0, -0.1, -1.3
  0.173890,  1.0, -0.1, -1.3, -5.4, -4.0, -0.1, -1.3
  0.195879,  1.0, -0.0, -1.4, -5.4, -4.0, -0.1, -1.3
  0.218082,  1.0,  0.0, -1.3, -5.4, -4.0, -0.1, -1.3
  0.240738,  1.0, -0.1, -1.4, -5.4, -4.0, -0.1, -1.3
  0.262720,  1.0, -0.1, -1.5, -5.4, -4.0, -0.1, -1.3
  0.285505,  1.0,  0.0, -1.3, -5.4, -4.0, -0.1, -1.3
  0.307978,  1.0, -0.1, -1.4, -5.4, -4.0, -0.1, -1.3
  0.329962,  1.0, -0.1, -1.3, -5.4, -4.0, -0.1, -1.3
  0.352231,  1.0, -0.0, -1.3, -5.4, -4.0, -0.1, -1.3
  0.374633,  1.0, -0.1, -1.3, -5.4, -4.0, -0.1, -1.3
  0.397124,  1.0, -0.1, -1.3, -5.4, -4.0, -0.1, -1.3
  0.419266,  1.0, -0.1, -1.4, -5.4, -4.0, -0.1, -1.3
  0.442101,  1.0, -0.2, -1.3, -5.4, -4.0, -0.1, -1.3
  0.464162,  1.0, -0.1, -1.5, -5.4, -4.0, -0.1, -1.3
  0.486597,  1.0, -0.1, -1.3, -5.4, -4.0, -0.1, -1.3
  0.509071,  1.0, -0.2, -1.3, -5.4, -4.0, -0.1, -1.3
  0.531117,  1.0,  0.1, -1.5, -5.4, -4.0, -0.1, -1.4
  0.553187,  1.0, -0.1, -1.5, -5.4, -4.0, -0.1, -1.4
  0.575504,  1.0, -0.1, -1.4, -5.4, -4.0, -0.1, -1.4
  0.598256,  1.0, -0.1, -1.4, -5.4, -4.0, -0.1, -1.4
  0.620479,  1.0,  0.0, -1.4, -5.4, -4.0, -0.1, -1.4
  0.643215,  1.0,  0.1, -1.3, -5.4, -4.0, -0.1, -1.4
  0.665988,  1.0, -0.0, -1.3, -5.4, -4.0, -0.1, -1.4
  0.688200,  1.0,  0.0, -1.5, -5.4, -4.0, -0.1, -1.4
  0.710249,  1.0, -0.2, -1.4, -5.4, -4.0, -0.1, -1.4
  0.732306,  1.0, -0.1, -1.4, -5.4, -4.0, -0.1, -1.4
  0.754559,  1.0, -0.1, -1.4, -5.4, -4.0, -0.1, -1.4
  0.776514,  1.0, -0.1, -1.3, -5.4, -4.0, -0.1, -1.4
  0.799541,  1.0,  0.2, -1.4, -5.4, -4.0, -0.1, -1.4
  0.822361,  1.0,  0.1, -1.3, -5.4, -4.0, -0.1, -1.4
  0.845375,  1.0, -0.1, -1.4, -5.4, -4.0, -0.1, -1.4
  0.868308,  1.0, -0.0, -1.3, -5.4, -4.0, -0.1, -1.4
  0.890982,  1.0, -0.2, -1.4, -5.4, -4.0, -0.1, -1.4
  0.913409,  1.0, -0.1, -1.4, -5.4, -4.0, -0.1, -1.4
  0.936637,  1.0, -0.2, -1.3, -5.4, -4.0, -0.1, -1.4
  0.959378,  1.0, -0.0, -1.5, -5.4, -4.0, -0.1, -1.4
  0.981926,  1.0,  0.0, -1.4, -5.4, -4.0, -0.1, -1.4
  1.005215,  1.0, -0.3, -1.4, -5.4, -4.0, -0.1, -1.4
  1.027620,  1.0, -0.2, -1.3, -5.4, -4.0, -0.1, -1.4
  1.050689,  1.0,  0.0, -1.2, -5.4, -4.0, -0.1, -1.4
  1.073196,  1.0, -0.1, -1.3, -5.4, -4.0, -0.1, -1.4
  1.095477,  1.0, -0.1, -1.3, -5.4, -4.0, -0.1, -1.4
  1.118290,  1.0, -0.3, -1.3, -5.4, -4.0, -0.1, -1.4
  1.140885,  1.0, -0.1, -1.4, -5.4, -4.0, -0.1, -1.4
  1.163345,  1.0, -0.1, -1.3, -5.4, -4.0, -0.1, -1.4
  1.185932,  1.0, -0.2, -1.3, -5.4, -4.0, -0.1, -1.4
  1.209183,  1.0, -0.1, -1.4, -5.4, -4.0, -0.1, -1.4
  1.231660,  1.0, -0.1, -1.4, -5.4, -4.0, -0.1, -1.4
  1.254742,  1.0, -0.0, -1.4, -5.4, -4.0, -0.1, -1.4
  1.277182,  1.0, -0.1, -1.5, -5.4, -4.0, -0.1, -1.4
  1.299738,  1.0, -0.0, -1.3, -5.4, -4.0, -0.1, -1.4
  1.322387,  1.0,  0.1, -1.4, -5.4, -4.0, -0.1, -1.4
  1.344736,  1.0, -0.1, -1.3, -5.4, -4.0, -0.1, -1.4
  1.367565,  1.0, -0.0, -1.3, -5.4, -4.0, -0.1, -1.4
  1.390097,  1.0, -0.2, -1.4, -5.4, -4.0, -0.1, -1.4
  1.412948,  1.0, -0.1, -1.4, -5.4, -4.0, -0.1, -1.4
  1.435689,  1.0, -0.1, -1.4, -5.4, -4.0, -0.1, -1.4
  1.458988,  1.0, -0.1, -1.4, -5.4, -4.0, -0.1, -1.4
  1.481480,  1.0,  0.0, -1.5, -5.4, -4.0, -0.1, -1.4
  1.504444,  1.0, -0.2, -1.3, -5.4, -4.0, -0.1, -1.4
  1.526976,  1.0,  0.0, -1.4, -5.4, -4.0, -0.1, -1.4
  1.549571,  1.0, -0.1, -1.5, -5.4, -4.0, -0.1, -1.4
  1.572338,  1.0, -0.0, -1.3, -5.4, -4.0, -0.1, -1.4
