time, niveau, x_rotation, y_rotation, gyro_total_x, gyro_total_y, angle_x, angle_y
  0.001106,  1.0, 24.3,  8.1, 25.9,  8.9, 24.5,  8.3
  0.046144,  1.0, 24.4,  8.3, 25.9,  8.9, 24.5,  8.3
  0.069108,  1.0, 24.4,  8.2, 25.9,  8.9, 24.5,  8.3
  0.092144,  1.0, 24.3,  8.4, 25.9,  8.9, 24.5,  8.3
  0.115104,  1.0, 24.2,  8.3, 25.9,  8.9, 24.4,  8.3
  0.138101,  1.0, 24.4,  8.3, 25.9,  8.9, 24.5,  8.3
  0.161108,  1.0, 24.4,  8.2, 25.9,  8.9, 24.5,  8.3
  0.184104,  1.0, 24.3,  8.2, 25.9,  8.9, 24.5,  8.3
  0.207104,  1.0, 24.4,  8.3, 25.9,  8.9, 24.4,  8.3
  0.230106,  1.0, 24.4,  8.2, 25.9,  8.9, 24.4,  8.3
  0.253108,  1.0, 24.3,  8.3, 25.9,  8.9, 24.4,  8.3
  0.276109,  1.0, 24.4,  8.3, 26.0,  8.9, 24.5,  8.3
  0.299106,  1.0, 24.3,  8.3, 26.0,  8.9, 24.4,  8.3
  0.322099,  1.0, 24.4,  8.3, 26.0,  8.9, 24.4,  8.3
  0.345108,  1.0, 24.4,  8.2, 26.0,  8.9, 24.5,  8.3
  0.368104,  1.0, 24.5,  8.2, 26.0,  8.9, 24.5,  8.3
  0.391104,  1.0, 24.4,  8.2, 26.0,  8.9, 24.5,  8.3
  0.414105,  1.0, 24.4,  8.2, 26.0,  8.9, 24.5,  8.3
  0.437107,  1.0, 24.4,  8.2, 26.0,  8.9, 24.5,  8.3
  0.460104,  1.0, 24.3,  8.3, 26.0,  8.9, 24.5,  8.3
  0.483107,  1.0, 24.3,  8.0, 26.0,  8.9, 24.5,  8.3
  0.506102,  1.0, 24.4,  8.4, 26.0,  8.9, 24.5,  8.3
  0.529107,  1.0, 24.5,  8.2, 26.0,  8.9, 24.5,  8.3
  0.552108,  1.0, 24.5,  8.2, 26.0,  8.9, 24.5,  8.3
  0.575111,  1.0, 24.4,  8.4, 26.0,  8.9, 24.5,  8.3
  0.598105,  1.0, 24.5,  8.3, 26.0,  8.9, 24.5,  8.3
  0.621103,  1.0, 24.3,  8.1, 26.0,  8.9, 24.5,  8.3
  0.644106,  1.0, 24.4,  8.6, 26.0,  8.9, 24.5,  8.3
  0.667108,  1.0, 24.3,  8.3, 26.0,  8.9, 24.5,  8.3
  0.690103,  1.0, 24.5,  8.3, 26.0,  8.9, 24.5,  8.3
  0.713107,  1.0, 24.4,  8.3, 26.0,  8.9, 24.5,  8.3
  0.736101,  1.0, 24.3,  8.4, 26.0,  8.9, 24.5,  8.3
  0.759106,  1.0, 24.2,  8.3, 26.0,  8.9, 24.5,  8.3
  0.782112,  1.0, 24.4,  8.4, 26.0,  8.9, 24.5,  8.3
  0.805103,  1.0, 24.2,  8.2, 26.0,  8.9, 24.5,  8.3
  0.828105,  1.0, 24.4,  8.2, 26.0,  8.9, 24.5,  8.3
  0.851107,  1.0, 24.5,  8.3, 26.0,  8.9, 24.5,  8.3
  0.874116,  1.0, 24.3,  8.2, 26.0,  8.9, 24.5,  8.3
  0.897107,  1.0, 24.5,  8.2, 26.0,  8.9, 24.5,  8.3
  0.920104,  1.0, 24.4,  8.5, 26.0,  8.9, 24.5,  8.3
  0.943107,  1.0, 24.5,  8.5, 26.0,  8.9, 24.5,  8.3
  0.966114,  1.0, 24.5,  8.4, 26.0,  8.9, 24.5,  8.3
  0.989100,  1.0, 24.5,  8.2, 26.0,  8.9, 24.5,  8.3
  1.012114,  1.0, 24.5,  8.2, 26.0,  8.9, 24.5,  8.3
  1.035111,  1.0, 24.4,  8.2, 26.1,  8.9, 24.5,  8.3
  1.058115,  1.0, 24.5,  8.3, 26.1,  8.9, 24.5,  8.3
  1.081106,  1.0, 24.4,  8.3, 26.1,  8.9, 24.5,  8.3
  1.104103,  1.0, 24.3,  8.2, 26.1,  8.9, 24.5,  8.3
  1.127108,  1.0, 24.3,  8.6, 26.1,  8.9, 24.5,  8.3
